number, postalcode, district, msg
1474, 720888, 24, ""
1475, 480120, 17, ""
1476, 466666, 16, ""
1477, 555555, 19, ""
1478, 614776, 22, ""
1479, 666666, 23, ""
1480, 480120, 17, ""
1481, 208563, 8, ""
1482, 566666, 19, ""
1483, 70120, 2, ""
1484, 788888, 27, ""
1485, 614337, 22, ""
1486, 466666, 16, ""
1487, 480120, 17, ""
1488, 480120, 17, ""
1489, 480120, 17, ""
1490, 750120, 26, ""
1491, 611111, 22, ""
1492, 480120, 17, ""
1493, 480120, 17, ""
1494, 777777, 27, ""
1495, 614337, 22, ""
1496, 480120, 17, ""
1497, 750120, 26, ""
1498, 466666, 16, ""
1499, 480120, 17, ""
1500, 614337, 22, ""
1501, 222222, 9, ""
1502, 480120, 17, ""
1503, 222222, 9, ""
1504, 611111, 22, ""
1505, 750120, 26, ""
1506, 70120, 2, ""
1507, 611111, 22, ""
1508, 750120, 26, ""
1509, 611111, 22, ""
1510, 614337, 22, ""
1511, 480120, 17, ""
1512, 466666, 16, ""
1513, 750120, 26, ""
1514, 777777, 27, ""
1515, 480120, 17, ""
1516, 780120, 27, ""
1517, 317844, 12, ""
1518, 614337, 22, ""
1519, 480120, 17, ""
1520, 750120, 26, ""
1521, 677785, 23, ""
1522, 480120, 17, ""
1523, 611111, 22, ""
1524, 480120, 17, ""
1525, 611111, 22, ""
1526, 480120, 17, ""
1527, 120087, 4, ""
1528, 480120, 17, ""
1529, 671111, 23, ""
1530, 461111, 16, ""
1531, 750120, 26, ""
1532, 480120, 17, ""
1533, 480120, 17, ""
1534, 480120, 17, ""
1535, 614337, 22, ""
1536, 750120, 26, ""
1537, 611111, 22, ""
1538, 480120, 17, ""
1539, 614337, 22, ""
1540, 480120, 17, ""
1541, 611111, 22, ""
1542, 750120, 26, ""
1543, 480120, 17, ""
1544, 480120, 17, ""
1545, 750120, 26, ""
1546, 333333, 13, ""
1547, 70120, 2, ""
1548, 480120, 17, ""
1549, 611111, 22, ""
1550, 480120, 17, ""
1551, 614337, 22, ""
1552, 777777, 27, "Rr"
1553, 614337, 22, ""
1554, 480120, 17, ""
1555, 480200, 17, ""
1556, 480120, 17, ""
1557, 777777, 27, ""
1558, 70120, 2, ""
1559, 611111, 22, ""
1560, 120888, 4, ""
1561, 480120, 17, ""
1562, 677777, 23, ""
1563, 480120, 17, ""
1564, 222222, 9, ""
1565, 466666, 16, ""
1566, 750888, 26, ""
1567, 788888, 27, ""
1568, 480120, 17, ""
1569, 480120, 17, ""
1570, 461111, 16, ""
1571, 614337, 22, ""
1572, 480120, 17, ""
1573, 750120, 26, ""
1574, 480120, 17, ""
1575, 120888, 4, ""
1576, 611111, 22, ""
1577, 750120, 26, ""
1578, 480120, 17, ""
1579, 614337, 22, ""
1580, 225879, 9, ""
1581, 480120, 17, ""
1582, 456980, 16, ""
1583, 614444, 22, ""
1584, 480120, 17, ""
1585, 567895, 19, ""
1586, 480120, 17, ""
1587, 411111, 15, "I"
1588, 70120, 2, ""
1589, 480120, 17, ""
1590, 611111, 22, ""
1591, 615894, 22, ""
1592, 480120, 17, ""
1593, 548615, 19, ""
1594, 480120, 17, ""
1595, 611111, 22, ""
1596, 661455, 23, ""
1597, 480120, 17, ""
1598, 480120, 17, ""
1599, 613378, 22, ""
1600, 480120, 17, ""
1601, 466611, 16, ""
1602, 614337, 22, ""
1603, 480120, 17, ""
1604, 480120, 17, ""
1605, 611111, 22, ""
1606, 480120, 17, ""
1607, 70120, 2, ""
1608, 614377, 22, ""
1609, 120319, 4, "The Lord blesses and be with you forever!"
1610, 461111, 16, ""
1611, 211111, 9, ""
1612, 648697, 22, ""
1613, 671111, 23, ""
1614, 711111, 24, ""
1615, 480120, 17, ""
1616, 614337, 22, ""
1617, 70120, 2, ""
1618, 614337, 22, ""
1619, 70120, 2, ""
1620, 480120, 17, ""
1621, 614337, 22, ""
1622, 480120, 17, ""
1623, 480120, 17, ""
1624, 614337, 22, ""
1625, 461111, 16, ""
1626, 614337, 22, ""
1627, 611111, 22, ""
1628, 614337, 22, ""
1629, 711111, 24, ""
1630, 480120, 17, ""
1631, 799999, 28, ""
1632, 70120, 2, ""
1633, 461111, 16, ""
1634, 750120, 26, ""
1635, 611111, 22, ""
1636, 617337, 22, ""
1637, 0, 1, ""
1638, 558074, 19, ""
1639, 461111, 16, ""
1640, 711111, 24, ""
1641, 70500, 2, ""
1642, 563248, 19, ""
1643, 713395, 24, ""
1644, 480120, 17, ""
1645, 70456, 2, ""
1646, 358495, 13, ""
1647, 711111, 24, ""
1648, 753158, 26, ""
1649, 718956, 24, ""
1650, 711111, 24, ""
1651, 756231, 26, ""
1652, 111111, 4, ""
1653, 755804, 26, ""
1654, 480120, 17, ""
1655, 466666, 16, ""
1656, 741809, 25, ""
1657, 111111, 4, ""
1658, 480120, 17, ""
1659, 645861, 22, ""
1660, 480120, 17, ""
1661, 748089, 25, ""
1662, 671111, 23, ""
1663, 480120, 17, ""
1664, 680457, 23, "Hola"
1665, 485654, 17, ""
1666, 480120, 17, ""
1667, 111111, 4, ""
1668, 741238, 25, ""
1669, 480120, 17, ""
1670, 461111, 16, ""
1671, 123894, 4, ""
1672, 211111, 9, ""
1673, 614378, 22, ""
1674, 480120, 17, ""
1675, 611111, 22, ""
1676, 480120, 17, ""
1677, 70561, 2, ""
1678, 186477, 7, ""
1679, 614337, 22, ""
1680, 480120, 17, ""
1681, 480562, 17, ""
1682, 480120, 17, ""
1683, 75698, 2, ""
1684, 777777, 27, ""
1685, 766455, 26, ""
1686, 480120, 17, ""
1687, 756128, 26, ""
1688, 111111, 4, ""
1689, 480120, 17, ""
1690, 750268, 26, ""
1691, 614956, 22, ""
1692, 480120, 17, ""
1693, 70561, 2, ""
1694, 444444, 15, ""
1695, 120678, 4, ""
1696, 614337, 22, ""
1697, 120329, 4, "Hi"
1698, 155555, 5, "adfadf"
1699, 120688, 4, "hi"
1700, 461020, 16, "Happy Mood On!✨🙆😍"
1701, 460065, 16, "May all Singaporean enjoy peace, prosperity and health for the next 50 years."
1702, 449297, 15, "This is really amazing.</br>I lOVE SINGAPORE!"
1703, 598720, 21, ""
1704, 461020, 16, "Happy💕"
1705, 461020, 16, "Happy💕"
