number, postalcode, district, msg
447, 319762, 12, "Joy! "
448, 319762, 12, "Joy! "
449, 319762, 12, "Joy! "
450, 319762, 12, "i want to be healthy"
451, 139948, 5, "I wan a pay raise!"
452, 550421, 19, "Sup "
453, 509373, 17, "Live"
454, 167026, 6, "Happy holidays"
455, 680509, 23, "Hiiii"
456, 597367, 21, "Love"
457, 569373, 19, "Plock"
458, 680509, 23, "Hi"
459, 680509, 23, "Hiiii"
460, 680509, 23, "Hi"
461, 754466, 26, "be happy always!"
462, 754466, 26, "be happy always"
463, 754466, 26, "be happy always"
464, 640737, 22, "I hope I can pass my driving test!!!! "
465, 640737, 22, "Weave to have more biz! "
466, 550421, 19, "Hi"
467, 550421, 19, "Hello "
468, 509373, 17, "Hello"
469, 509373, 17, "Boo"
470, 165004, 6, "AllForLove"
471, 310143, 12, "Succesful wedding im april 2016"
472, 319762, 12, "Happy 2016"
473, 319762, 12, "Hi"
474, 319762, 12, "good health"
475, 319762, 12, "Good Health"
476, 319762, 12, "be healthy"
477, 590001, 21, ""
478, 590001, 21, "Joy! "
479, 591335, 21, ""
480, 590133, 21, ""
481, 591133, 21, ""
482, 590001, 21, "fds"
483, 590001, 21, ""
484, 590000, 21, ""
485, 590001, 21, ""
486, 120432, 4, "Merry Christmas "
487, 236541, 10, "Hi"
488, 120432, 4, "Merry Christmas "
489, 319762, 12, "healthy always</br>"
490, 590001, 21, ""
491, 231456, 10, "Hi"
492, 264385, 10, "Hello "
493, 595336, 21, ""
494, 590001, 21, ""
495, 319762, 12, ""
496, 523168, 18, "Hi"
497, 231456, 10, "Hi"
498, 523168, 18, "Hello"
499, 536469, 19, "Luv you Ankita...love Deepak. Wishing for wonderful Y2016."
500, 234532, 10, "Hi"
501, 465321, 16, "Hi"
502, 541281, 19, ""
503, 329138, 12, "I love vera."
504, 668754, 23, ""
505, 644659, 22, "i love money"
506, 789097, 27, ""
507, 789097, 27, "Hello from yio Chu kang"
508, 461033, 16, "ALallalalalalkala</br>"
509, 509373, 17, "Hellp"
510, 330033, 13, "I wish my son grow up to be a good  boy "
511, 534981, 19, "South Africa safari trip"
512, 139948, 5, "Merry Weavemas!"
513, 640737, 22, "Greetings from the West!"
514, 311101, 12, ""
515, 530419, 19, "Happy birthday"
516, 311101, 12, ""
517, 400313, 14, "WP for the win"
518, 0, 1, "Happy new year"
519, 509373, 17, "Hello "
520, 509373, 17, "Hello "
521, 509373, 17, "Hello"
522, 509373, 17, "Hello"
523, 509373, 17, "Hrllo"
524, 590001, 21, ""
525, 48624, 1, "howard"
526, 86453, 3, "hey!!!"
527, 590001, 21, ""
528, 590001, 21, ""
529, 590001, 21, ""
530, 719026, 24, ""
531, 719206, 24, ""
532, 719026, 24, ""
533, 719026, 24, ""
534, 248440, 10, "Carless Singapore!"
535, 730139, 25, "Working hard for family "
536, 470611, 16, "SINGAPORE TO WIN the World CUP"
537, 680565, 23, "Hjhgihfyjjjjnb"
538, 680565, 23, "Master a kickflip "
539, 680565, 23, "Master a kickflip "
540, 680565, 23, "Master a kickflip"
541, 680565, 23, "Master a kickflip"
542, 680565, 23, "Master a kickflip"
543, 470611, 16, "We LOVE  Our Home Land</br>SINGAPORE FOREVER"
544, 48624, 1, "Singapore pub crawl!! "
545, 513525, 18, "More clear and clean"
546, 570158, 20, "Happy New Year 2016!"
547, 549130, 19, "SG50 SINGAPORE</br></br></br>"
548, 598753, 21, "Merry Christmas "
549, 457889, 16, "Merry Christmas Hartley Grove"
550, 470772, 16, "Happy Holidays!!! I'm jimmy!!!"
551, 670167, 23, "Merry Christmas!"
552, 49826, 1, "Joy to the world!"
553, 670167, 23, "I love Singapore!"
554, 670167, 23, "Peace out"
555, 610355, 22, ""
556, 470611, 16, "One People Stand for One Nation</br>The Great SINGAPORE "
557, 58416, 1, "Just got engaged! "
558, 80016, 3, "Just got engaged! Woohoo! "
559, 58416, 1, "Woohoo! Engaged! So happy SINGAPORE!"
560, 80016, 3, "It din work!"
561, 640644, 22, "Merry xmas!!!"
562, 156438, 5, "Have a wonderful Christmas Singapore "
563, 618650, 22, "Merry xmas everyone!"
564, 140087, 5, "Sg50"
565, 520842, 18, ""
566, 520840, 18, "Happy birthday weiting"
567, 472748, 16, "I love you</br>"
568, 730524, 25, "Happy christmas"
569, 670626, 23, "Mway mway"
570, 590001, 21, ""
571, 458659, 16, "Merry Christmas!! "
572, 590001, 21, ""
573, 590001, 21, ""
574, 590001, 21, ""
575, 520335, 18, "I wish singapore has lights on roads</br>"
576, 319762, 12, ""
577, 48616, 1, ""
578, 319762, 12, ""
579, 48616, 1, ""
580, 768440, 26, "Merry x'mas"
581, 730867, 25, ""
582, 686860, 23, ""
583, 658744, 22, ""
584, 38986, 1, ""
585, 597001, 21, "Merry Christmas!"
586, 590001, 21, ""
587, 597001, 21, ""
588, 737934, 25, ""
589, 465532, 16, "Lol"
590, 465532, 16, "Happy bday mom!!"
591, 150037, 5, "Merry Christmas ya filthy animals! "
592, 640750, 22, ""
593, 640750, 22, "I love you yuzane"
594, 310043, 12, "I love u Elijah "
595, 670543, 23, "Cheers to a better and stronger year ahead!"
596, 669583, 23, "Loads of love for all countries in 2016! "
597, 339411, 13, ""
598, 309065, 12, "MERRY CHRISTMAS!"
599, 570175, 20, "happy birthday</br>"
600, 570175, 20, "Happy birthday"
601, 573975, 20, ""
602, 509729, 17, "Happy new year!"
603, 90015, 3, "Happi new yr"
604, 200803, 8, "Happy holidays"
605, 560513, 19, "Merry christmas"
606, 509684, 17, "Please give us Hope. "
607, 461033, 16, "Hello!"
608, 461033, 16, "Jellele"
609, 151008, 5, "Sjdjdjjffjd"
610, 151008, 5, "Hahahha"
611, 567744, 19, "Merry christmas!"
612, 670126, 23, "Blessed Christmas"
613, 510504, 18, ""
614, 760297, 26, "祝新加坡国运昌隆"
615, 520295, 18, "祝新加坡国泰民安、人民健康！"
616, 640413, 22, "Thank you for giving me a safe and beautiful home. I love you "
617, 760350, 26, "Wishing that 2016 will be a great year, just like 2015! Happy SG51"
618, 600316, 21, ""
619, 648305, 22, ""
620, 730511, 25, "Wish my family have a peaceful and happy year for year 2016"
621, 648305, 22, "Wishing Mau's family good health, happy forever. "
622, 542116, 19, "Wishing everyone good health & good luck in 2016. Cheers!!!"
623, 670214, 23, "Merry Christmas & Happy New Year!! A better tomorrow everyone!!! "
624, 360015, 13, "May all dreams come true! </br>Live Well. Love Much. Laugh Often! </br>- G.S.K "
625, 669558, 23, "国泰民安"
626, 643679, 22, "Wish our economy is stable and fruitful always and all my love one in healthy shape and health. Xmas and happy new year Singaporeans!!!!"
627, 509741, 17, "祝:国泰民安，世界太平！"
628, 400013, 14, "国泰民安 天下太平 安居乐业 身体健康 ！"
629, 520707, 18, "祝愿大家来年比往年更加好!!更加幸福快乐!!😄😄😄"
630, 733685, 25, ""
631, 600278, 21, "A Healthy and Wealthy 2016!"
632, 520707, 18, "祝愿新加坡国泰民安！在新的一年更加繁荣昌盛!!😄😄"
633, 550422, 19, "Wish Singapore to become a more beautiful plc to live in "
634, 544917, 19, "More blessing to our Home -- Singapore </br>祝愿我们的家园新加坡承载满满的祝福!"
635, 680705, 23, ""
636, 806505, 28, "Merry Christmas and a happy new year!!"
637, 120334, 4, "Merry Christmas and Happy New Year!!"
638, 536019, 19, "Let there be Love, Peace and Hope everywhere! Merry Christmas!"
639, 764505, 26, "I love Singapore! Wishing Singapore a top best country in the world!"
640, 680568, 23, "Be HEALTHY everyone!!!"
641, 650171, 22, ""
642, 650171, 22, "Happy New Year"
643, 510109, 18, "Sincerely wish our Singapore to be ever a sovereign prosper peaceful gracious happy country. "
644, 671635, 23, "Wish everyone Merry Christmas & Happy New Year. Have a safe journey too!"
645, 543122, 19, "Good health, peace n prosperity for all. No more haze in 2016!"
646, 120613, 4, "Wish i can find my Mr.Right in the following year! And wish my whole family healthy and happy everyday!"
647, 521221, 18, ""
648, 541275, 19, ""
649, 521221, 18, "WORLD PEACE!!"
650, 319074, 12, ""
651, 530535, 19, ""
652, 530690, 19, ""
653, 645538, 22, "I wish my family members happy healthy long life and wish can get what i want. Hope 2016 is a good year to everyone."
654, 670166, 23, ""
655, 470124, 16, "人人平安顺利，开心！</br></br>"
656, 510705, 18, "Merry Christmas and a Happy New Year!"
657, 530502, 19, ""
658, 530420, 19, "World peace & let love conquers the world :) People are kinder and warmer."
659, 560610, 19, "Wish everybody Merry Christmas & A Happy New Year."
660, 543271, 19, "merry xmas from hangzhou westlake"
661, 521886, 18, "May I always be able to accomplish what i set out to achieve. May everyone be happy :)"
662, 600102, 21, "Merry Christmas! :)"
663, 640642, 22, "Merry Christmas & A Happy Happy New Year to all fellow Singaporeans! </br>Let's continue to keep Singapore as a Safe, Clean & Friendliest City! :D"
664, 640642, 22, "Merry Christmas!"
665, 640642, 22, "MERRY CHRISTMAS & HAPPY NEW YEAR ALL!"
666, 680156, 23, "Merry Xmas and Happy New Year"
667, 806048, 28, "Wishing Singapore SG50"
668, 120315, 4, "Good morning Singapore!"
669, 542192, 19, "Wish my children and I have a SUCCESSFUL, BEAUTIFUL, HEALTHY AND PROSPEROUS 2016!"
670, 590002, 21, "WORLD PEACE!!"
671, 534323, 19, "Wish all Singaporean a Merry Xmas and a happy new year..."
672, 760765, 26, ""
673, 90118, 3, "11"
674, 210012, 9, "X'mas & a great year ahead to everyone in Singapore "
675, 210012, 9, "I Love SG"
676, 470222, 16, ""
677, 731843, 25, "Wish everyone's happy day and wish my family happy merry Christmas and happy new year!!!!cheer!"
678, 680418, 23, "world harmony"
679, 140160, 5, ""
680, 90008, 3, ""
681, 161054, 6, "Merry Christmas & Happy New Year Singapore"
682, 310118, 12, "Happy New Year!"
683, 670545, 23, "在新的一年，祝新加坡经济更強劲，国人收入更丰厚，国㤗平安！"
684, 730170, 25, "Wish singapore all the best!</br>"
685, 644987, 22, "Happy New Year!"
686, 507025, 17, ""
687, 319762, 12, "to be happy always"
688, 140090, 5, ""
689, 597090, 21, "May the safety, good wealth and prosperity upon Sunset Way"
690, 521859, 18, "Merry Christmas, happy new year, better transport and no more haze!"
691, 750331, 26, "Happy holidays Singapoee. A great place!"
692, 320103, 12, "囯泰民安!世界和平!"
693, 642685, 22, "I hope my family good health, peace and happiness"
694, 109258, 3, "Wish Singapore has a wonderful and peaceful 2016, in term of Economy & Security"
695, 575574, 20, ""
696, 575574, 20, ""
697, 730170, 25, "Wish all the best for singapore!</br>"
698, 550329, 19, ""
699, 550329, 19, "祝願新加坡国泰民安, 人民安居乐业。"
700, 120331, 4, ""
701, 640516, 22, "hope my dreams come true..."
702, 169075, 6, "hope my career will be better in future next year at all...."
703, 640516, 22, "hope our family in safe, healthy, happiness, happy at all the time... "
704, 550329, 19, "世界和平! 无有病苦, 恐怖和忧恼! 地球就是极乐世界!"
705, 169075, 6, "hope to get bonus in future year"
706, 640516, 22, "祝愿国家国泰明安 大家团结一致 和平 开心地度过每一天 "
707, 544336, 19, "I wish the year end Countdown at the Marina Bay will go smoothly!"
708, 762317, 26, "Sponsored trip to Austraila"
709, 761334, 26, "Happy New Year!!!"
710, 677730, 23, ""
711, 460218, 16, "Wishing all singaporean Merry Christmas and Happy New Year"
712, 575574, 20, ""
713, 122311, 4, "新的一年 更进一步"
714, 648305, 22, "Wishing Mau's & Song's family good health, happy forever"
715, 130002, 5, "Merry xmas and happy new year...</br></br>Wishing in 2016 to be a good year, happy and healthy..."
716, 680561, 23, "Wishing Singapore another 50 good years to SG100. Happy Birthday, Singapore"
717, 450157, 16, "Happy New Year!!!</br>Good health and Good luck to everyone :)"
718, 464029, 16, "Happy New Year!!!</br>Good health and Good luck to my family and everyone :)"
719, 530706, 19, ""
720, 530706, 19, ""
721, 730824, 25, "Happy Holidays!"
722, 575574, 20, ""
723, 598739, 21, ""
724, 536202, 19, ""
725, 550153, 19, "Health and happiness abound!!"
726, 560411, 19, "I hope my family and I always in good health. Hope the world in peace."
727, 530830, 19, "I wish for a blessed and happy 2016 with my loved ones! :)"
728, 750419, 26, "MERRY CHRISTMAS!!!"
729, 600258, 21, ""
730, 643663, 22, "祝全新加坡人圣诞节和新年快乐，身体健康。国泰平安。"
731, 370052, 14, "I hope in year of 2016, all my family members, husband and sons included me have healthy body and have a good relationship!!! Cheers"
732, 370052, 14, "I hope in 2016, I can become a more loving, patient and good listener mother and wife. Jia you"
733, 380124, 14, ""
734, 380124, 14, "Stay healthy & Happy always!</br>WORLD PEACE👌"
735, 160132, 6, "世界和平,父母家人及身边的人都健康平安快乐☺😊😃😄😄😄"
736, 681165, 23, ""
