x,y,i,j
604,670,13,15
582,714,13,16
604,758,13,17
582,802,13,18
604,846,13,19
582,890,13,20
604,934,13,21
582,978,13,22
604,1022,13,23
582,1066,13,24
604,1110,13,25
582,1154,13,26
604,1198,13,27
582,1242,13,28
604,1286,13,29
626,10,14,0
648,54,14,1
626,98,14,2
648,142,14,3
626,186,14,4
648,230,14,5
626,274,14,6
648,318,14,7
626,362,14,8
648,406,14,9
626,450,14,10
648,494,14,11
626,538,14,12
648,582,14,13
626,626,14,14
648,670,14,15
626,714,14,16
648,758,14,17
626,802,14,18
648,846,14,19
626,890,14,20
648,934,14,21
626,978,14,22
648,1022,14,23
626,1066,14,24
648,1110,14,25
626,1154,14,26
648,1198,14,27
626,1242,14,28
648,1286,14,29
670,10,15,0
692,54,15,1
670,98,15,2
692,142,15,3
670,186,15,4
692,230,15,5
670,274,15,6
692,318,15,7
670,362,15,8
692,406,15,9
670,450,15,10
692,494,15,11
670,538,15,12
692,582,15,13
670,626,15,14
692,670,15,15
670,714,15,16
692,758,15,17
670,802,15,18
692,846,15,19
670,890,15,20
692,934,15,21
670,978,15,22
692,1022,15,23
670,1066,15,24
692,1110,15,25
670,1154,15,26
692,1198,15,27
670,1242,15,28
692,1286,15,29
714,10,16,0
736,54,16,1
714,98,16,2
736,142,16,3
714,186,16,4
736,230,16,5
714,274,16,6
736,318,16,7
714,362,16,8
736,406,16,9
714,450,16,10
736,494,16,11
714,538,16,12
736,582,16,13
714,626,16,14
736,670,16,15
714,714,16,16
736,758,16,17
714,802,16,18
736,846,16,19
714,890,16,20
736,934,16,21
714,978,16,22
736,1022,16,23
714,1066,16,24
736,1110,16,25
714,1154,16,26
736,1198,16,27
714,1242,16,28
736,1286,16,29
758,10,17,0
780,54,17,1
758,98,17,2
780,142,17,3
758,186,17,4
780,230,17,5
758,274,17,6
780,318,17,7
758,362,17,8
780,406,17,9
758,450,17,10
780,494,17,11
758,538,17,12
780,582,17,13
758,626,17,14
780,670,17,15
758,714,17,16
780,758,17,17
758,802,17,18
780,846,17,19
758,890,17,20
780,934,17,21
758,978,17,22
780,1022,17,23
758,1066,17,24
780,1110,17,25
758,1154,17,26
780,1198,17,27
758,1242,17,28
780,1286,17,29
802,10,18,0
824,54,18,1
802,98,18,2
824,142,18,3
802,186,18,4
824,230,18,5
802,274,18,6
824,318,18,7
802,362,18,8
824,406,18,9
802,450,18,10
824,494,18,11
802,538,18,12
824,582,18,13
802,626,18,14
824,670,18,15
802,714,18,16
824,758,18,17
802,802,18,18
824,846,18,19
802,890,18,20
824,934,18,21
802,978,18,22
824,1022,18,23
802,1066,18,24
824,1110,18,25
